id,Gender,Age,City,Profession,Academic Pressure,Work Pressure,CGPA,Study Satisfaction,Job Satisfaction
2,Male,33,Visakhapatnam,Student,5,0,9,2,0
8,Female,24,,Student,2,0,6,5,0
26,Male,31,Srinagar,Student,3,0,7,5,0
30,Female,28,Varanasi,Student,3,0,6,2,0
32,Female,25,Jaipur,Student,4,0,8,3,0
33,Male,29,Pune,Student,2,0,6,3,0
52,Male,30,Thane,Student,3,,10,4,0
56,Female,30,Chennai,Student,2,0,8,4,0
59,Male,28,Nagpur,Student,3,0,10,1,0
62,Male,75,Nashik,Student,2,0,8,3,0
83,Male,24,Nagpur,Student,3,0,6,,0
91,Male,33,Vadodara,Student,3,0,7,4,0
94,Male,27,Kalyan,Student,5,0,7,1,0
100,Female,19,Rajkot,Student,2,0,9,4,0
103,Female,19,Kalyan,Student,5,,6,5,0
106,Male,29,Srinagar,Student,3,0,9,3,0
120,Male,25,Nashik,Student,5,0,7,2,0
132,Female,20,,Student,5,0,7,3,0
139,Male,19,Chennai,Student,2,0,8,2,0
145,Male,25,Kalyan,Student,3,0,10,3,0
161,Male,29,Kolkata,Student,3,0,9,,0
162,Male,29,Kolkata,Student,3,0,7,3,0
166,Female,25,,Student,3,0,6,3,0
172,Male,23,,Student,1,0,9,4,0
173,Male,18,Bangalore,Student,4,,7,3,0
176,Female,20,,Student,5,0,9,5,0
186,Male,31,Ahmedabad,Student,2,0,6,5,0
193,Male,25,,Student,3,0,7,3,0
208,Male,33,Indore,Student,5,0,6,2,0
214,Male,28,Kalyan,Student,3,0,10,3,0
222,Male,18,Surat,Student,4,0,7,5,0
232,Male,18,Visakhapatnam,Student,2,0,6,3,0
239,Male,21,Jaipur,Student,1,0,7,,0
240,Female,31,Kalyan,Student,1,0,6,3,0
242,Male,21,Surat,Student,1,0,8,,0
253,Female,25,,Student,1,0,6,3,0
255,Female,21,Bhopal,Student,5,0,10,2,0
263,Male,28,Srinagar,Student,5,0,6,3,0
270,Male,28,Thane,Student,1,0,10,2,0
273,Male,25,Meerut,Student,3,0,7,4,0
274,Female,20,Thane,Student,3,,7,2,0
277,Male,23,Agra,Student,2,0,6,4,0
280,Male,19,Agra,Student,1,0,5,3,0
285,Female,33,Ghaziabad,Student,4,0,9,1,0
294,Female,23,Chennai,Student,1,0,8,4,0
301,Male,22,Lucknow,Student,1,0,10,1,0
303,Female,19,Meerut,Student,2,0,7,2,0
305,Female,30,Hyderabad,Student,1,0,6,3,0
310,Male,21,Kalyan,Student,3,0,7,3,0
312,Female,19,Rajkot,Student,5,0,7,5,0
315,Male,23,Kalyan,Student,3,0,8,3,0
316,Female,23,,Student,5,0,10,1,0
324,Female,18,Vadodara,Student,3,0,6,5,0
328,Male,28,Srinagar,Student,4,0,9,1,0
335,Male,24,Hyderabad,Student,2,0,8,3,0
336,Female,33,Srinagar,Student,1,0,10,1,0
337,Female,20,Kalyan,Student,3,0,8,2,0
340,Male,23,,Student,5,0,8,1,0
343,Male,23,Pune,Student,5,0,6,1,0
347,Female,24,Ludhiana,Student,3,0,6,1,0
348,Male,25,Jaipur,Student,5,0,9,1,0
351,Female,24,,Student,4,0,8,3,0
